esce0006;Estoque Atual por Fam¡lia/Qualidade;esce0006;esp/esce0006.w;Estoque Atual por Fam¡lia/Qualid;17
esce0005;Estoque Atual/Dispon¡vel por Item;esce0005;esp/esce0005.w;Estoque Atual/Dispon¡vel p/Item;17
esce0011;Estoque Disponivel por Fam¡lia;esce0011;esp/esce0011.w;Estoque Disponivel por Fam¡lia;17
esce0012;Estoque Disponivel por Item;esce0012;esp/esce0012.w;Estoque Disponivel por Item;17
esce0001;Estoque no éltimo Fechamento por Fam¡lia;esce0001;esp/esce0001.w;Estoque éltimo Fechamento p/Fam;17
esce0004;Movimento de Estoque por Centro de Custo;esce0004;esp/esce0004.w;Movimento de Estoque por CCusto;17
esce0003;Movimento de Estoque por Dep¢sito/Esp‚cie;esce0003;esp/esce0003.w;Movimento de Estoque p/Dep/Esp‚c;17
esce0007;Necessidade de Compra por Item;esce0007;esp/esce0007.w;Necessidade de Compra por Item;17
esce0002;Reservas Por Ordem de Produ‡Æo/Item;esce0002;esp/esce0002.w;Reservas Por Ordem Produ‡Æo/Item;17
esce0008;Saldo F¡sico Atual por Ötem;esce0008;esp/esce0008.w;Saldo F¡sico Atual por Ötem;17
escc0001;Ötens com éltima Compra;escc0001;esp/escc0001.w;Ötens com éltima Compra;17
escc0002;Ötens com éltima Compra/Varia‡Æo de Pre‡o;escc0002;esp/escc0002.w;Ötens com éltima Compr/Var Pre‡o;17
escc0305;Pedidos de Compra;escc0305;esp/escc0305.w;Pedidos de Compra;17
essp0019;Composi‡äes de Ötens;essp0019;esp/essp0019.w;Composi‡äes de Ötens;2
essp0021;Controles de SAC;essp0021;esp/essp0021.w;Controles de SAC;4
essp0024;Cotas de Vendas por Fam¡lia;essp0024;esp/essp0024.w;Cotas de Vendas por Fam¡lia;2
essp0026;Fam¡lias - Dados Complementares;essp0026;esp/essp0026.w;Fam¡lias - Dados Complementares;3
essp0056;Invent rio de Produtos Acabados;essp0056;esp/essp0056.w;Invent rio de Produtos Acabados;2
essp0060;Ötens - Dados Complementares;essp0060;esp/essp0060.w;Ötens - Dados Complementares;3
essp0027;Pedidos - Dados Complementares;essp0027;esp/essp0027.w;Pedidos - Dados Complementares;3
essp0062;Pedidos - Reservas;essp0062;esp/essp0062.w;Pedidos - Reservas;3
essp0089;Tipos de Embalagens;essp0089;esp/essp0089.w;Tipos de Embalagens;2
essp0020;Composi‡äes de Ötens;essp0020;esp/essp0020.w;Composi‡äes de Ötens;14
essp0022;Controles de SAC;essp0022;esp/essp0022.w;Controles de SAC;15
essp0025;Cotas de Vendas por Fam¡lia;essp0025;esp/essp0025.w;Cotas de Vendas por Fam¡lia;14
essp0064;Invent rio de Produtos Acabados;essp0064;esp/essp0064.w;Invent rio de Produtos Acabados;14
essp0087;Conferˆncia do Invent rio da Expedi‡Æo;essp0087;esp/essp0087.w;Conferˆncia do Invent rio da Exp;17
essp0088;Invent rio por Item/Referencia;essp0088;esp/essp0088.w;Invent rio por Item/Referencia;17
essp0017;µreas da Mecƒnica;essp0017;esp/essp0017.w;µreas da Mecƒnica;2
essp0030;M quinas da Mecƒnica;essp0030;esp/essp0030.w;M quinas da Mecƒnica;2
essp0006;Movimentos da Manuten‡Æo;essp0006;esp/essp0006.w;Movimentos da Manuten‡Æo;4
essp0034;Setores da Mecƒnica;essp0034;esp/essp0034.w;Setores da Mecƒnica;2
essp0036;Sub-sistemas da Mecƒnica;essp0036;esp/essp0036.w;Sub-sistemas da Mecƒnica;2
essp0018;µreas da Mecƒnica;essp0018;esp/essp0018.w;µreas da Mecƒnica;14
essp0031;M quinas da Mecƒnica;essp0031;esp/essp0031.w;M quinas da Mecƒnica;14
essp0007;Movimentos da Manuten‡Æo;essp0007;esp/essp0007.w;Movimentos da Manuten‡Æo;15
essp0035;Setores da Mecƒnica;essp0035;esp/essp0035.w;Setores da Mecƒnica;14
essp0037;Sub-sistemas da Mecƒnica;essp0037;esp/essp0037.w;Sub-sistemas da Mecƒnica;14
essp0086;Curva ABC de Manuten‡Æo por M quina;essp0086;esp/essp0086.w;Curva ABC Manuten‡Æo p/M quina;17
essp0085;Curva ABC de Manuten‡Æo por SubSistema;essp0085;esp/essp0085.w;Curva ABC Manuten‡Æo p/SubSistem;17
